school_id,teach_id,child_id,lit_pretest,math_pretest,lit_posttest,math_posttest,ses,female,black,hisp,asian,nohsdip,ba,maprofdeg,nonenghome,pct_frpl,private,fullday
0184,0184T04,0184006C,34.13,26.03,43.11,42.87,0.34,1,0,0,0,0,0,0,0,,0,1
1245,1245T01,1245003C,34.43,37.89,52.87,53.64,0.75,0,0,0,1,0,1,0,0,5.45,0,0
1211,1211T02,1211003C,47.05,40.95,53.35,48.37,1.09,1,0,0,1,0,0,1,0,0,1,0
0117,0117T03,0117008C,39.79,30.85,59.39,36.78,0.72,0,,,,0,0,1,0,,0,1
0797,0797T01,0797003C,27.31,17.2,43.52,24.73,-0.73,0,0,0,0,0,0,0,0,46.28,0,0
0882,0882T02,0882018C,42.81,23.1,67.6,30.37,0.58,1,0,0,0,0,1,0,0,4.62,0,1
0117,0117T04,0117010C,36.55,23.71,51.13,34.73,-0.78,1,0,1,0,1,0,0,1,,0,1
0355,0355T02,0355008C,32.7,25.28,42.47,32.24,-0.7,1,0,0,1,0,0,0,1,52.53,0,1
0906,0906T06,0906016C,50.39,28.9,56.1,45.98,-0.3,1,0,0,0,0,0,0,0,43.08,0,1
0038,0038T04,0038014C,39.25,32.74,50.06,40.32,-0.17,1,0,1,0,0,0,0,1,,0,1
0549,0549T02,0549016C,40.24,26.3,46.5,24.64,0.58,1,0,0,0,0,1,0,0,5.63,1,1
0551,0551T03,0551007C,34.07,23.47,65.29,47.89,1.06,1,0,0,0,0,1,0,0,5.84,0,0
0550,0550T01,0550001C,21.86,15.46,29.22,18.84,-0.67,0,1,0,0,0,0,0,0,,0,
3029,3029T02,3029012C,32.62,25.3,40.39,37.77,-0.46,0,0,0,0,0,0,0,0,27.44,0,0
0840,0840T03,0840023C,108.11,46.07,139.52,44.97,1.87,0,0,0,0,0,0,1,0,0,1,1
1040,1040T01,1040016C,41.45,27.59,50.73,41.03,0.03,0,0,0,0,0,0,0,0,0,1,1
0471,0471T05,0471013C,25.57,17.67,35.09,29.4,0.07,0,0,0,0,0,0,0,0,9.66,0,1
0860,0860T04,0860007C,31.94,14.31,45.76,48.54,-0.63,0,0,0,0,0,0,0,0,93,0,1
0897,0897T01,0897020C,34.11,21.05,35.78,32.39,1.86,0,0,0,0,0,0,1,0,,1,1
0384,0384T05,0384020C,,14.89,35.8743,24.77,,1,0,1,0,,,,1,65.48,0,1
0534,0534T01,0534011C,27.65,20.59,34.34,36.94,-1.02,0,0,0,0,1,0,0,0,21.54,0,0
0188,0188T01,0188014C,39.76,32.21,50.04,45.89,1.28,1,0,0,0,0,0,1,0,0,1,1
0536,0536T02,0536006C,28.03,20.47,46.84,31.77,-0.59,0,0,0,0,1,0,0,0,,0,0
0668,0668T01,0668010C,45.37,39.29,65.56,65.17,0.59,0,0,0,0,0,1,0,0,,1,1
2057,2057T02,2057007C,30.4,25.56,42.28,31.19,0.78,1,0,0,0,0,1,0,0,0,1,0
2057,2057T02,2057001C,26.04,23.23,37.46,30.18,1.77,0,0,0,0,0,1,0,0,0,1,0
0147,0147T01,0147014C,25.51,18.21,54.58,29.25,,1,0,1,0,,,,1,,0,1
0748,0748T01,0748010C,28.13,21.34,35.11,34.66,-0.3,0,0,0,0,0,0,0,0,23.81,0,0
0041,0041T01,0041015C,,,57.21,57.13,0.78,0,0,0,0,0,1,0,1,0,1,1
0887,0887T03,0887022C,29.18,37.92,36.66,47.43,-0.47,0,0,0,0,0,0,0,0,,1,0
0713,0713T01,0713008C,35.44,33.67,56.59,50.03,1.03,0,0,1,0,0,1,0,1,,1,1
2111,2111T02,2111021C,23.05,16.06,33.86,29.94,0.85,0,0,1,0,0,1,0,0,38.12,0,0
0401,0401T01,0401005C,43.76,45.17,105.85,64.5,1.63,0,0,0,0,0,0,1,0,1.14,0,0
0855,0855T01,0855019C,64.23,55.5,75.27,73.05,-0.32,0,0,0,0,0,0,0,0,20.34,0,1
1084,1084T02,1084016C,,,38.79,32.85,,0,0,0,0,,,,1,87.42,0,0
0187,0187T02,0187012C,37.69,61.63,52.18,85.14,1.95,0,0,0,0,0,0,1,0,27.21,0,1
0650,0650T01,0650011C,24.58,18.95,35.25,30.98,0.01,1,1,0,0,0,0,0,0,51.2,0,1
0834,0834T01,0834019C,35.74,31.21,43.56,33.91,0.71,0,0,1,0,0,0,1,1,47.34,0,1
0830,0830T01,0830003C,34.71,29.73,33.76,20.29,-0.13,1,0,0,0,0,0,0,0,5.67,1,1
3077,3077T01,3077016C,47.06,35.8,51.94,45.22,1.1,1,0,0,0,0,0,1,0,,0,0
0626,0626T02,0626020C,39.07,35.54,70.71,48.72,0.77,0,0,0,0,0,1,0,0,0,1,1
0707,0707T04,0707012C,,27.03,49.94,43.73,0.06,0,0,1,0,0,0,0,1,,0,1
0600,0600T02,0600007C,23.91,11.83,30.71,21.67,-0.21,1,0,0,0,0,0,0,0,58.07,0,1
0269,0269T02,0269019C,25.42,21.34,33.69,35.44,0.61,0,1,0,0,0,0,0,0,17.52,0,0
3054,3054T03,3054012C,21.67,13.55,38.03,23.16,0.08,1,0,0,0,0,0,0,0,,0,1
0599,0599T08,0599005C,51.86,47.07,89.26,74.63,-0.36,0,0,0,1,0,0,1,1,,0,1
2058,2058T01,2058022C,31.47,23.5,34.61,27.51,0.17,0,1,0,0,0,1,0,0,,1,
3048,3048T05,3048006C,34.37,29.54,50.07,37.93,1.27,0,0,0,1,0,1,0,1,3.44,0,0
0451,0451T02,0451006C,40.96,34.39,46.16,42.01,-0.03,1,0,0,0,0,0,0,0,24.1,0,1
0954,0954T03,0954009C,33.5,28.06,40.74,32.41,-0.76,0,0,1,0,0,0,0,0,,0,0
0952,0952T06,0952020C,29.44,16.57,27.64,19.22,0.15,0,0,1,0,0,0,0,0,70.5,0,1
0626,0626T02,0626021C,45.33,31.82,61.98,45.04,0.86,1,0,0,0,0,1,0,0,0,1,1
0036,0036T13,0036014C,45.96,52.78,62.5,55.04,-0.33,1,0,0,0,0,0,0,0,23.43,0,0
2008,2008T01,2008004C,32.8,28.51,35.21,31.02,0.17,0,0,0,0,0,0,0,0,0,1,1
1125,1125T11,1125021C,,16.78,31.15616,23.07,-0.48,0,0,1,0,0,0,0,1,,0,
3114,3114T01,3114002C,40.83,21.77,38,30.45,-0.39,0,0,0,1,0,0,0,0,42.98,0,0
1210,1210T02,1210008C,,,36.34,30.89,-1.06,0,0,1,0,1,0,0,,,0,0
3070,3070T01,3070004C,29.09,27.02,40.25,31.32,-0.49,0,0,0,0,0,0,0,0,30.04,0,0
0395,0395T01,0395019C,37.71,32.37,62.65694,46.92687,0.07,0,0,1,0,0,1,0,0,5.9,0,0
0809,0809T02,0809013C,30.42,23.16,44.87,37.71,-0.11,0,0,0,0,0,0,0,0,,0,1
0262,0262T02,0262019C,31.01,24.64,40.64,31.66,0.14,1,0,0,0,0,1,0,0,,0,0
0344,0344T01,0344013C,26.71,26.21,31.07,33.58,-0.5,0,0,0,0,0,0,0,0,28.53,0,0
0246,0246T01,0246007C,29.46,17.74,39.43,22.81,-0.57,1,0,0,0,0,0,0,0,93,0,
0040,0040T01,0040005C,37.37,35.42,42.31,43.91,0.14,0,0,0,0,0,1,0,1,,0,1
0016,0016T01,0016006C,24.96,17.85,29.12,28.03,-0.52,0,0,0,0,0,0,0,0,42.11,0,0
1169,1169T01,1169005C,,16.19,44.9578,24.75,,1,0,1,0,,,,1,90.89,0,0
0196,0196T01,0196023C,45.27,49.91,49.84,52.72,-0.9,1,0,0,0,0,0,0,0,6.77,1,1
0686,0686T01,0686022C,35.27,21.75,48.69,30.86,-0.39,1,1,0,0,0,0,0,0,81.2,0,1
0231,0231T02,0231023C,25.82,18.95,44.03,22.82,-0.72,1,0,0,0,0,0,0,0,45.45,0,0
0606,0606T02,0606002C,74.03,34.59,89.08,62.44,1.05,0,0,0,1,0,0,1,0,,0,1
0385,0385T01,0385021C,34.27,40.83,42.09,55.44,-0.82,0,0,1,0,0,0,0,0,39.72,1,1
0039,0039T04,0039021C,42.55,31.15,57.74,43.05,1.49,1,0,0,0,0,0,1,0,0,1,1
3048,3048T05,3048023C,32.54,24.24,43.05,36,0.01,0,0,0,0,0,0,0,0,3.44,0,0
0071,0071T03,0071022C,23.1,13.18,26.98,23.38,0.77,0,1,0,0,0,0,0,0,,0,1
1264,1264T01,1264002C,25.62,20.31,45.49,26.16,-1.26,0,0,0,1,1,0,0,0,76.92,0,0
0386,0386T03,0386019C,,12.36,31.01,20.82,-0.95,1,0,1,0,0,0,0,1,,0,0
0331,0331T01,0331015C,59.65,66.97,61.51,65.21,-0.04,1,0,0,0,0,0,0,0,14.44,0,0
0799,0799T01,0799014C,33.62,19.08,35.98,26.08,-0.56,1,0,1,0,0,0,0,0,56.46,0,1
0873,0873T02,0873018C,,22.04,35.19,28.59,-0.14,1,1,0,0,0,0,0,0,27.55,0,0
0467,0467T04,0467023C,34.99,18.62,38.29,27.96,-0.49,0,0,1,0,0,0,0,0,28.82,0,1
0530,0530T03,0530024C,25.93,19.59,46.26,34.4,-0.48,0,0,0,0,0,0,0,0,70.02,0,1
0474,0474T02,0474008C,30.52,25.28,40.91,36.23,-0.09,1,0,0,0,0,0,0,0,21.91,0,1
0333,0333T01,0333018C,52.96,27.93,58.21,45.15,0.93,0,0,1,0,0,1,0,0,16.59,0,
0549,0549T02,0549009C,33,17.91,33.93,22.2,0.3,1,0,0,0,0,1,0,0,5.63,1,1
1021,1021T04,1021004C,41.1,25.91,50.38,47.55,0.81,1,0,0,0,0,0,1,0,12.79,0,0
0312,0312T02,0312024C,39.87,44.77,48.55,46.45,-0.49,1,0,1,0,0,0,0,0,,0,0
3012,3012T01,3012009C,33.9,24.55,36.88,34.1,0.3,0,0,0,0,0,1,0,0,,0,0
0229,0229T01,0229024C,58.36,40.02,66.35,54.2,0.13,1,0,0,0,0,1,0,0,24.58,0,0
0812,0812T02,0812011C,43.05,33.22,73.8,41.42,1.73,0,0,0,0,0,0,1,0,0,1,1
0995,0995T03,0995018C,35.82,24.01,61.63,37.24,-0.6,1,0,1,0,0,0,0,0,,0,
0386,0386T01,0386009C,35.53,29.63,44.26,40.38,0.14,1,0,0,0,0,1,0,0,,0,0
3014,3014T01,3014024C,41.82,33.27,59.61,40.17,-0.11,0,0,0,0,0,1,0,0,42.03,0,0
0928,0928T05,0928018C,,22.13,30.58078,25.22,,1,0,1,0,,,,1,,0,
1269,1269T06,1269016C,34.65,24.66,47.14,32.47,-0.18,0,0,1,0,0,0,0,0,,0,0
0083,0083T08,0083024C,,16.67,32.63,23.19,-0.74,1,0,1,0,0,0,0,1,56.73,0,1
0339,0339T02,0339019C,39.55,30.74,52.88,33.05,-0.3,0,1,0,0,0,0,0,0,42.25,1,
0501,0501T02,0501006C,35.16,21.11,47.16,27.38,-0.26,1,0,0,0,0,0,0,0,,0,1
0474,0474T04,0474001C,39.58,23.92,50.13,37.75,-0.53,1,0,0,0,0,0,0,0,21.91,0,1
1221,1221T04,1221015C,,,57.908,49.9685,0.46,1,0,0,0,0,1,0,,,0,0
1070,1070T01,1070027C,27.43,18.25,37.43,34.74,0.34,0,0,0,0,0,1,0,0,0,1,0
1204,1204T01,1204010C,36.06,36.55,52.84,48.35,0.16,1,0,0,0,0,0,0,0,0,1,0
0258,0258T03,0258006C,33.45,22.19,41.77,33.15,-0.15,1,0,0,0,0,0,0,0,10.34,0,0
0537,0537T02,0537016C,29.03,21.89,46.85,34.71,0.62,0,0,0,0,0,0,0,0,,0,0
0429,0429T01,0429009C,40.78,32.05,53.8,63.13,1.5,0,0,0,0,0,1,0,0,.87,1,0
1002,1002T02,1002018C,,,51.08,45.28,-0.24,0,0,0,0,0,0,0,,,0,0
0245,0245T01,0245016C,39.93,29.03,63.56,40.71,1.28,1,0,0,0,0,0,1,0,12.91,0,0
0599,0599T03,0599002C,80.52,43.95,114.17,55.06,1.81,1,0,0,1,0,0,1,1,,0,1
0485,0485T01,0485019C,35.13,21.57,44.47,36.4,0.6,0,0,0,0,0,1,0,0,1.53,1,0
0176,0176T01,0176008C,41.6,31.69,47.31,39.76,-0.24,0,0,0,0,0,0,0,0,,0,0
3030,3030T01,3030009C,45.03,34.42,79.05,49.96,2.2,1,0,0,0,0,0,1,0,25.68,0,0
0171,0171T02,0171015C,50.7,43.74,48.71,44.8,1.21,0,0,0,0,0,1,0,0,46.94,0,0
0601,0601T02,0601013C,,,39.31,24.6,0.56,0,0,0,0,0,1,0,,,0,1
1241,1241T01,1241018C,27.65,20.82,32.89,30.13,-0.22,0,0,1,0,0,0,0,0,0,1,1
0136,0136T02,0136017C,33.78,32.71,48.98,54.34,-0.28,1,0,0,0,0,0,0,0,19.83,0,0
0033,0033T03,0033022C,26.79,19.72,33.4,27.69,-0.3,0,0,0,0,0,0,0,0,3.75,0,0
0462,0462T01,0462020C,29.57,19.32,34.16,29.46,0.46,1,0,0,0,0,0,0,0,,0,1
0001,0001T01,0001011C,65.92,47.36,84.61,59.89,1.08,1,0,0,0,0,1,0,0,0,0,1
0584,0584T01,0584013C,64.63,58.83,74.71,70,,0,0,0,0,,,,0,1.92,0,0
1096,1096T02,1096007C,,,45.10395,44.10183,-0.55,1,0,0,1,1,0,0,1,71.97,0,0
0105,0105T02,0105007C,56.42,28.81,82.01,44.75,-0.25,0,1,0,0,0,0,0,0,31.52,0,
1239,1239T01,1239022C,35.21,27.31,47.72,45.67,0.9,1,0,0,0,0,1,0,0,,1,1
0597,0597T05,0597024C,33.26,27.93,38.16,33.57,0.61,0,1,0,0,0,0,0,0,59.97,0,1
0271,0271T04,0271018C,28.15,41.27,50.19,46.93,1.84,0,0,0,0,0,0,1,0,,0,0
3080,3080T04,3080022C,47.52,31.93,54.42,48.45,1.66,0,0,0,0,0,0,1,0,41.63,0,1
0089,0089T04,0089008C,32.48,30.95,37.07,31.03,0.58,1,0,0,0,0,0,1,0,13.1,0,1
3045,3045T01,3045021C,24.86,17.12,34.18,22.65,-0.77,0,0,1,0,1,0,0,1,,0,0
0897,0897T01,0897023C,37.47,30.17,49.15,31.69,1.12,0,0,0,0,0,1,0,0,,1,1
0966,0966T01,0966013C,23.76,24.59,45.06,29.58,-1.04,0,0,0,1,1,0,0,1,51.92,0,1
0104,0104T01,0104019C,32.08,22.61,35.46,26.49,-0.57,0,0,1,0,0,0,0,0,25.31,1,1
2009,2009T01,2009004C,28.32,18.72,27.54,17.25,0.1,0,0,0,0,0,1,0,0,0,1,0
0451,0451T02,0451016C,25.49,21.54,40.31,28.02,-0.23,0,0,0,0,0,0,0,0,24.1,0,1
1118,1118T06,1118022C,44.05,23.2,47.09,42.88,0.44,1,0,0,0,0,1,0,0,,0,0
0662,0662T02,0662015C,35.88,27.23,47.07,33.36,0.02,1,0,0,0,0,1,0,0,,0,1
3084,3084T03,3084020C,32.72,26.03,48.55,39.58,-0.19,1,0,0,0,0,0,0,0,,0,0
0740,0740T02,0740012C,32.53,19.38,43.2,25.96,-0.51,0,0,0,0,0,0,0,0,,0,1
1176,1176T02,1176012C,57.25,53.56,64.24,69.3,1.17,0,0,0,0,0,1,0,0,1.63,0,0
1192,1192T01,1192004C,,,67.95422,44.1472,0.55,1,0,0,1,0,1,0,1,,0,
0651,0651T04,0651006C,25.95,19.16,46.33,30.51,-0.27,0,0,0,0,0,0,0,0,15.35,0,1
0338,0338T01,0338017C,47.59,46.02,57.89,59.47,0.78,1,0,0,0,0,0,1,0,,1,
1219,1219T04,1219015C,38.82,18.22,53.91,26.97,-0.33,1,0,1,0,0,0,0,0,,0,0
0118,0118T06,0118023C,,12.68,26.85,17.73,-1.07,0,0,1,0,1,0,0,1,,0,1
1218,1218T12,1218023C,,16.55,30.70532,25.07,-0.87,1,0,1,0,0,0,0,1,,0,0
1118,1118T04,1118015C,31.64,32.05,42.18,39.36,-0.03,0,0,1,0,0,0,0,0,,0,0
0751,0751T01,0751013C,46.89,28.83,48.03,32.98,-0.55,0,1,0,0,0,0,0,0,47.91,0,0
0765,0765T01,0765020C,28.34,16.89,31.72,21.5,-0.45,0,1,0,0,0,0,0,0,43.86,0,1
0122,0122T01,0122022C,26.47,24.19,40.09,34.71,-0.16,1,0,0,0,0,0,0,0,0,1,0
0753,0753T01,0753006C,36.54,24.14,49.21,39.18,0.59,1,0,0,0,0,0,0,0,,0,1
0006,0006T02,0006016C,38.55,27.56,45.8,34.96,-0.69,1,0,0,0,0,0,0,0,7.46,0,0
0331,0331T02,0331024C,55.55,55.51,76.35,67.24,0.16,1,0,0,0,0,0,0,0,14.44,0,0
0853,0853T01,0853004C,61.53,34.89,101.58,41.42,1.4,1,0,0,0,0,1,0,0,0,1,
0635,0635T05,0635018C,37.33,25.72,50.24,26.44,-0.26,1,0,0,0,0,0,0,0,2.03,0,1
0247,0247T08,0247016C,34.04,31.2,43.56,40.96,0.91,0,1,0,0,0,1,0,0,,0,1
1021,1021T02,1021022C,27.05,23.17,44.51,39.6,-0.81,0,0,0,0,0,0,0,0,12.79,0,0
0023,0023T01,0023006C,28.06,15.64,33.73,14.8,-0.37,0,0,0,0,0,0,0,0,29.5,0,0
0393,0393T02,0393014C,32.66,22.47,46.53,33.33,0.17,0,0,1,0,0,0,0,1,51.04,0,1
0103,0103T01,0103007C,23.48,13.85,31.25,19.25,-0.79,0,0,1,0,1,0,0,1,,0,1
0889,0889T01,0889003C,24.5,18.64,35.83,21.92,-0.99,1,0,1,0,1,0,0,0,,0,1
0602,0602T03,0602020C,,,39.69,32.36,-0.49,1,1,0,0,0,0,0,,,0,1
0618,0618T01,0618013C,24.14,14.93,28.28,16.72,-0.5,0,0,0,0,1,0,0,0,0,1,1
0168,0168T01,0168007C,93.87,44.12,110.56,55.67,-0.23,1,0,0,0,0,0,0,0,9.8,0,0
0869,0869T01,0869020C,29.49,29.95,46.44,41.16,-0.1,0,0,1,0,0,1,0,0,20.16,0,0
0439,0439T02,0439003C,29.85,19.17,34.78,23.81,-0.68,1,0,0,0,0,0,0,0,,0,0
3016,3016T01,3016004C,25.92,13.55,30.12,13.1,-0.68,0,0,0,0,0,0,0,0,93,0,0
1241,1241T01,1241003C,25.92,14.3,31.92,26.49,0.28,0,0,0,1,0,0,0,1,0,1,1
0319,0319T02,0319016C,39.25,25.3,45.96,39.35,1.02,1,0,0,0,0,1,0,0,,0,0
0334,0334T09,0334012C,31.27,25.18,42.29,34.34,-0.23,1,1,0,0,0,0,0,0,0,0,
0729,0729T02,0729015C,56.05,40.49,61.17,59.18,1.33,0,0,0,0,0,0,1,0,31.38,0,0
1272,1272T02,1272006C,33.97,24.59,42.63,27.61,-0.15,1,0,1,0,0,0,0,1,,0,1
0840,0840T01,0840007C,35.83,26.06,39.32,32.09,-0.04,0,0,0,0,0,0,0,0,0,1,1
1049,1049T03,1049022C,35.58,37.18,41.97,45.1,-0.57,1,0,0,0,0,0,0,0,7,0,1
1159,1159T01,1159014C,,12.07,37.89171,17.61,-1.52,0,0,1,0,1,0,0,1,71.26,0,
0708,0708T02,0708021C,32.25,18.03,42.11,36.29,-0.26,1,0,1,0,0,0,0,1,60.28,0,1
0829,0829T01,0829021C,28.72,25.09,33.12,34.25,0.03,1,1,0,0,0,0,0,0,11.21,1,1
0214,0214T01,0214011C,38.98,26.38,52,42.92,-1.27,1,0,0,0,0,0,0,0,36.38,0,0
0897,0897T01,0897015C,32.23,25.16,45.39,29.54,0.78,1,0,0,0,0,1,0,0,,1,1
0748,0748T01,0748007C,27.22,18.51,35.24,24.26,-0.45,1,0,1,0,1,0,0,1,23.81,0,0
1168,1168T01,1168005C,44.78,29.51,42.73,41.28,0.09,0,1,0,0,0,0,0,0,,1,1
0326,0326T01,0326022C,39.02,28.03,45.44,33.69,0.08,0,0,0,0,0,0,0,0,1.25,0,1
2027,2027T01,2027001C,37.12,32.46,36.96,40.5,1.32,0,0,0,0,0,0,1,0,0,1,0
0774,0774T02,0774016C,40.31,29.9,51.69,42.13,-0.17,1,1,0,0,0,0,0,0,,0,1
1147,1147T02,1147005C,33.9,20.21,36.74,26.56,0.55,0,0,0,0,0,0,0,0,,0,0
3103,3103T01,3103023C,25.32,13.1,34.36,21.48,-0.41,0,0,0,0,0,0,0,0,,0,1
1205,1205T02,1205007C,24.75,16.73,37.42,24.67,-0.53,1,0,1,0,0,0,0,0,,0,0
0256,0256T01,0256019C,46.56,35.21,54.85,43.15,0.97,1,0,0,0,0,0,1,0,6.35,1,1
1132,1132T01,1132005C,26.36,21.99,34.39,32.45,0.3,0,0,1,0,0,1,0,1,,0,0
0764,0764T02,0764022C,33.24,19.79,35.13,19.54,-1.39,1,1,0,0,1,0,0,0,93,0,1
0351,0351T02,0351021C,30.63,25.66,45.14,41.42,0.02,0,0,0,0,0,0,0,0,7.43,0,1
0385,0385T02,0385010C,37.29,22.19,37.92,25.69,0.33,1,0,1,0,0,1,0,1,39.72,1,0
0443,0443T02,0443005C,34.7,21.48,38.04,35.34,0.68,0,0,0,0,0,1,0,0,29.63,0,0
0661,0661T01,0661001C,39.69,24.54,49.29,44.73,-0.55,0,0,0,0,0,0,0,0,31.68,0,1
1014,1014T09,1014006C,29.41,16.37,30.88,20.2,-0.94,0,0,1,0,1,0,0,0,27.75,0,0
3025,3025T03,3025014C,47.08,33.58,69.09,44.76,0.1,1,0,0,0,0,0,0,0,,0,1
0645,0645T03,0645010C,45.05,27.47,44.17,33.18,0.41,0,0,0,0,0,0,0,0,67.84,0,1
0362,0362T01,0362003C,25.43,21.56,34.72,22.71,-0.24,0,0,0,0,0,0,0,0,13.68,0,1
0466,0466T01,0466013C,28.77,28.53,49.15,52.24,-0.27,0,0,0,0,0,0,0,0,11.38,1,1
0705,0705T07,0705022C,,26.75,61.14,36.06,-0.49,1,0,1,0,1,0,0,1,84.68,0,1
0145,0145T01,0145002C,,,46.58,36.7,,0,0,0,1,,,,1,93,1,1
0936,0936T01,0936007C,32.4,26.45,37.87,30.95,,0,0,0,0,,,,0,28.23,0,0
0301,0301T06,0301015C,52.18,23.82,76.82,31.41,0.72,0,0,0,0,0,0,0,0,,0,1
1091,1091T02,1091012C,40.57,33.92,52.69,46.2,0.24,1,0,1,0,0,1,0,0,0,1,0
0418,0418T02,0418017C,,,57.7753,44.59008,,1,0,1,0,,,,1,,0,0
0174,0174T01,0174022C,29.35,24.54,44.68,32.88,-0.65,0,1,0,0,0,0,0,0,,0,1
0776,0776T05,0776020C,46.11,36.73,48.48,45.86,0.04,0,0,0,0,0,0,0,0,,0,1
0175,0175T01,0175018C,42.29,33.56,50.91,36.25,1.07,1,0,0,0,0,0,1,0,0,1,0
1251,1251T07,1251012C,57.66,44.84,65.76,59.77,1.51,1,0,0,0,0,0,1,0,,0,0
0229,0229T01,0229018C,47.89,37.87,65.62,49.27,1.03,1,0,0,0,0,0,1,0,24.58,0,0
1044,1044T04,1044020C,,13.2,44.09047,17.29,-1.35,0,0,1,0,1,0,0,1,14.17,0,1
0271,0271T03,0271012C,37.99,31.11,45.18,38.76,1.7,0,0,0,1,0,0,1,0,,0,0
3056,3056T03,3056021C,36.25,23.27,44.6,30.57,-0.52,0,1,0,0,0,0,0,0,,0,1
0775,0775T02,0775006C,32.28,21.14,36.3,25.82,-0.26,0,0,0,0,0,0,0,0,19.14,0,1
3044,3044T03,3044022C,39.58,23.37,41.79,40.62,0.82,1,0,0,0,0,1,0,0,,0,0
0871,0871T01,0871008C,44.31,34.45,59.82,40.41,-0.13,1,1,0,0,0,0,0,0,12.1,0,1
0040,0040T02,0040022C,,18.64,36.66,23.62,-0.82,0,0,1,0,0,0,0,1,,0,1
0812,0812T03,0812022C,40.89,26.39,47.69,39.29,1.8,1,0,0,0,0,0,1,0,0,1,1
3115,3115T01,3115011C,25.82,15.54,31.74,22.78,0.36,0,0,0,0,0,1,0,0,14.29,0,0
0495,0495T01,0495001C,38.86,39.26,53.43,67.31,0.02,1,0,0,0,0,1,0,0,44.12,0,1
0255,0255T07,0255005C,30.58,18.82,40.48,28.29,-1.14,1,1,0,0,1,0,0,1,,0,1
0282,0282T01,0282012C,50.95,37.52,43.84,43.92,0.97,1,0,0,0,0,1,0,0,,0,1
2095,2095T01,2095008C,34.8,31.98,45.75,37.5,0.09,1,0,0,0,0,0,0,0,,1,1
0473,0473T01,0473012C,32.56,20.17,42.06,30.41,-0.18,1,0,0,0,0,0,0,0,,0,0
0334,0334T01,0334014C,28.45,28.88,39.83,36.35,0.16,0,0,0,0,0,0,0,0,0,0,
